TR,A,L,T,Force,Disp
1,120,300,3.5,12.15810108,171.2744446
1,120,300,3.5,12.09042645,172.0070801
1,120,300,3.5,12.0431633,172.7397156
1,120,300,3.5,12.06381798,173.4723511
1,120,300,3.5,12.0898819,174.2050018
1,120,300,3.5,12.13394547,174.9376373
1,120,300,3.5,12.13744068,175.6702728
1,120,300,3.5,12.00743198,176.4029083
1,120,300,3.5,11.87640095,177.1355591
1,120,300,3.5,11.74204159,177.8681946
1,120,300,3.5,11.65044117,178.6008301
1,120,300,3.5,11.69647312,179.3334656
1,120,300,3.5,11.76502705,180.0656281
1,120,300,3.5,11.90450573,180.7962647
1,120,300,3.5,12.02914238,181.5269013
1,120,300,3.5,12.10703564,182.2575531
1,120,300,3.5,12.15535069,182.9881897
1,120,300,3.5,12.11152744,183.7188263
1,120,300,3.5,12.06354904,184.4494782
1,120,300,3.5,12.00276852,185.1801148
1,120,300,3.5,11.94980907,185.9107513
1,120,300,3.5,11.92069531,186.6413879
1,120,300,3.5,11.89410019,187.3720398
1,120,300,3.5,11.87510109,188.1026764
1,120,300,3.5,11.85947704,188.833313
1,120,300,3.5,11.85392666,189.5639648
1,120,300,3.5,11.83880234,190.2946014
1,120,300,3.5,11.79540443,191.025238
1,120,300,3.5,11.7507534,191.7558746
1,120,300,3.5,11.70244026,192.4865265
1,120,300,3.5,11.66901016,193.2171631
1,120,300,3.5,11.67862511,193.9477997
1,120,300,3.5,11.69234467,194.6779327
1,120,300,3.5,11.71781445,195.4066162
1,120,300,3.5,11.75504494,196.1352844
1,120,300,3.5,11.82559109,196.8639679
1,120,300,3.5,11.88091469,197.5926361
1,120,300,3.5,11.89356232,198.3213196
1,120,300,3.5,11.89250469,199.0499878
1,120,300,3.5,11.85341072,199.7786713
1,120,300,3.5,11.80980873,200.5073395
1,120,300,3.5,11.75382328,201.236023
1,120,300,3.5,11.69363689,201.9646912
1,120,300,3.5,11.62202549,202.6933746
1,120,300,3.5,11.54246807,203.4220429
1,120,300,3.5,11.44151688,204.1507263
1,120,300,3.5,11.34976864,204.8793945
1,120,300,3.5,11.282547,205.608078
1,120,300,3.5,11.21500874,206.3367462
1,120,300,3.5,11.1466322,207.0654297
1,120,300,3.5,11.1369257,207.7940979
1,120,300,3.5,11.27898026,208.5227814
1,120,300,3.5,11.39918518,209.2509308
1,120,300,3.5,11.46286774,209.9777069
1,120,300,3.5,11.50411892,210.7044678
1,120,300,3.5,11.48791313,211.4312439
1,120,300,3.5,11.44127178,212.15802
1,120,300,3.5,11.31743908,212.8847961
1,120,300,3.5,11.21047878,213.6115723
1,120,300,3.5,11.145895,214.3383484
1,120,300,3.5,11.10055828,215.0651245
1,120,300,3.5,11.10262775,215.7919006
1,120,300,3.5,11.1357975,216.5186768
1,120,300,3.5,11.24557114,217.2454529
1,120,300,3.5,11.3548317,217.972229
1,120,300,3.5,11.46284008,218.6990051
1,120,300,3.5,11.50534535,219.4257813
1,120,300,3.5,11.38959026,220.1525574
1,120,300,3.5,11.27035046,220.8793335
1,120,300,3.5,11.14277363,221.6061096
1,120,300,3.5,11.04267502,222.3328857
1,120,300,3.5,11.00771046,223.0596619
1,120,300,3.5,11.00781632,223.7858734
